flight_no,scheduled_departure,scheduled_arrival,aircraft_code,round
PG0120,2016-09-13 05:00:00+00:00,2016-09-13 10:45:00+00:00,733,88934.0
PG0120,2016-09-14 05:00:00+00:00,2016-09-14 10:45:00+00:00,733,84324.0
PG0120,2016-09-15 05:00:00+00:00,2016-09-15 10:45:00+00:00,733,89613.0
PG0120,2016-09-16 05:00:00+00:00,2016-09-16 10:45:00+00:00,733,90853.0
PG0120,2016-09-17 05:00:00+00:00,2016-09-17 10:45:00+00:00,733,85721.0
PG0120,2016-09-18 05:00:00+00:00,2016-09-18 10:45:00+00:00,733,87950.0
PG0120,2016-09-19 05:00:00+00:00,2016-09-19 10:45:00+00:00,733,83467.0
PG0120,2016-09-20 05:00:00+00:00,2016-09-20 10:45:00+00:00,733,86565.0
PG0120,2016-09-21 05:00:00+00:00,2016-09-21 10:45:00+00:00,733,88728.0
PG0120,2016-09-22 05:00:00+00:00,2016-09-22 10:45:00+00:00,733,83678.0
PG0120,2016-09-23 05:00:00+00:00,2016-09-23 10:45:00+00:00,733,86647.0
PG0120,2016-09-24 05:00:00+00:00,2016-09-24 10:45:00+00:00,733,88055.0
PG0120,2016-09-25 05:00:00+00:00,2016-09-25 10:45:00+00:00,733,86826.0
PG0120,2016-09-26 05:00:00+00:00,2016-09-26 10:45:00+00:00,733,86539.0
PG0120,2016-09-27 05:00:00+00:00,2016-09-27 10:45:00+00:00,733,86522.0
PG0120,2016-09-28 05:00:00+00:00,2016-09-28 10:45:00+00:00,733,88176.0
PG0120,2016-09-29 05:00:00+00:00,2016-09-29 10:45:00+00:00,733,86965.0
PG0120,2016-09-30 05:00:00+00:00,2016-09-30 10:45:00+00:00,733,87764.0
PG0120,2016-10-01 05:00:00+00:00,2016-10-01 10:45:00+00:00,733,87240.0
PG0120,2016-10-02 05:00:00+00:00,2016-10-02 10:45:00+00:00,733,85594.0
PG0120,2016-10-03 05:00:00+00:00,2016-10-03 10:45:00+00:00,733,85996.0
PG0120,2016-10-04 05:00:00+00:00,2016-10-04 10:45:00+00:00,733,85703.0
PG0120,2016-10-05 05:00:00+00:00,2016-10-05 10:45:00+00:00,733,88507.0
PG0120,2016-10-06 05:00:00+00:00,2016-10-06 10:45:00+00:00,733,90514.0
PG0120,2016-10-07 05:00:00+00:00,2016-10-07 10:45:00+00:00,733,85525.0
PG0120,2016-10-08 05:00:00+00:00,2016-10-08 10:45:00+00:00,733,87307.0
PG0120,2016-10-09 05:00:00+00:00,2016-10-09 10:45:00+00:00,733,84557.0
PG0120,2016-10-10 05:00:00+00:00,2016-10-10 10:45:00+00:00,733,89826.0
PG0120,2016-10-11 05:00:00+00:00,2016-10-11 10:45:00+00:00,733,85844.0
PG0120,2016-10-12 05:00:00+00:00,2016-10-12 10:45:00+00:00,733,87914.0
PG0120,2016-10-13 05:00:00+00:00,2016-10-13 10:45:00+00:00,733,85615.0
PG0120,2016-10-14 05:00:00+00:00,2016-10-14 10:45:00+00:00,733,88479.0
PG0120,2016-10-15 05:00:00+00:00,2016-10-15 10:45:00+00:00,733,86398.0
PG0120,2016-10-16 05:00:00+00:00,2016-10-16 10:45:00+00:00,733,86522.0
PG0120,2016-10-17 05:00:00+00:00,2016-10-17 10:45:00+00:00,733,89430.0
PG0120,2016-10-18 05:00:00+00:00,2016-10-18 10:45:00+00:00,733,87892.0
PG0120,2016-10-19 05:00:00+00:00,2016-10-19 10:45:00+00:00,733,85844.0
PG0120,2016-10-20 05:00:00+00:00,2016-10-20 10:45:00+00:00,733,87307.0
PG0120,2016-10-21 05:00:00+00:00,2016-10-21 10:45:00+00:00,733,88794.0
PG0120,2016-10-22 05:00:00+00:00,2016-10-22 10:45:00+00:00,733,89969.0
PG0120,2016-10-23 05:00:00+00:00,2016-10-23 10:45:00+00:00,733,84643.0
PG0120,2016-10-24 05:00:00+00:00,2016-10-24 10:45:00+00:00,733,83166.0
PG0120,2016-10-25 05:00:00+00:00,2016-10-25 10:45:00+00:00,733,84206.0
PG0120,2016-10-26 05:00:00+00:00,2016-10-26 10:45:00+00:00,733,84235.0
PG0120,2016-10-27 05:00:00+00:00,2016-10-27 10:45:00+00:00,733,89615.0
PG0120,2016-10-28 05:00:00+00:00,2016-10-28 10:45:00+00:00,733,86938.0
PG0120,2016-10-29 05:00:00+00:00,2016-10-29 10:45:00+00:00,733,86383.0
PG0120,2016-10-30 05:00:00+00:00,2016-10-30 10:45:00+00:00,733,86731.0
PG0120,2016-10-31 05:00:00+00:00,2016-10-31 10:45:00+00:00,733,87345.0
PG0120,2016-11-01 05:00:00+00:00,2016-11-01 10:45:00+00:00,733,90294.0
PG0120,2016-11-02 05:00:00+00:00,2016-11-02 10:45:00+00:00,733,89976.0
PG0120,2016-11-03 05:00:00+00:00,2016-11-03 10:45:00+00:00,733,94439.0
PG0120,2016-11-04 05:00:00+00:00,2016-11-04 10:45:00+00:00,733,86107.0
PG0120,2016-11-05 05:00:00+00:00,2016-11-05 10:45:00+00:00,733,87088.0
PG0120,2016-11-06 05:00:00+00:00,2016-11-06 10:45:00+00:00,733,89039.0
PG0120,2016-11-07 05:00:00+00:00,2016-11-07 10:45:00+00:00,733,95316.0
PG0120,2016-11-08 05:00:00+00:00,2016-11-08 10:45:00+00:00,733,87950.0
PG0120,2016-11-09 05:00:00+00:00,2016-11-09 10:45:00+00:00,733,79242.0
PG0120,2016-11-10 05:00:00+00:00,2016-11-10 10:45:00+00:00,733,96521.0
